Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
1,svd,,3.426,12.929,173,865,865,1.0,0.7262517761547671,0.8179825337911895,0.9694280146162811,0.040745365884024366,0.056198885092295696,0.05897737431247142
5,lucene,,1.949,109.485,172,860,835,0.9709302325581395,0.7139913821356749,0.7954314305080468,0.953757847393738,0.03008789636728745,0.03664213887717904,0.036590228578175725
5,ii,,123.441,203.39000000000001,172,860,860,1.0,0.7074279793744785,0.7945252932641771,0.9689609941161088,0.030812226830690067,0.0464351679967866,0.04658600808246916
5,lucene-svd-blend,1.0,6.331,637.612,172,860,860,1.0,0.7106480404461938,0.7975000205722342,0.9713403580140181,0.04776845844118223,0.07612768319881412,0.08042432431269819
5,lucene-svd-blend,0.9,5.208,638.772,172,860,860,1.0,0.7050093201367028,0.7906379026195346,0.9721573240774825,0.05257835348207467,0.08891991922766784,0.09371222691687431
5,lucene-svd-blend,0.8,5.82,641.122,172,860,860,1.0,0.7009017160608529,0.7853400307876042,0.974074326836421,0.055162484969912114,0.09343833287426043,0.10055996082500869
5,lucene-svd-blend,0.7,0.458,592.048,172,860,860,1.0,0.6983051894396881,0.7816382126721347,0.974024155048266,0.05755475571666671,0.09187276852564835,0.10064294172959304
1,ii-svd-blend,0,103.289,924.346,173,865,865,1.0,0.71343504016651,0.7976901039094835,0.9724483207594516,0.032577706598786636,0.04584518665099025,0.047419872401976586
5,ii-svd-blend,0.9,123.447,921.184,172,860,860,1.0,0.7074489498833321,0.7940371591476587,0.9713955053468313,0.05146879169077983,0.08423479685802639,0.088981181408595
5,ii-svd-blend,1.0,123.44,928.192,172,860,860,1.0,0.7106480404461938,0.7975000205722342,0.9713403580140181,0.04776845844118223,0.07612768319881412,0.08042432431269819
5,ii-svd-blend,0.8,2.082,926.798,172,860,860,1.0,0.7048798824468279,0.7912668473749559,0.97126784886893,0.05126546753895982,0.08727643249989385,0.09198650958635789
5,lucene-svd-blend,0.6,0.357,571.275,172,860,860,1.0,0.6971938148512393,0.7795551858040969,0.9739463345699845,0.05588611963063006,0.08984019685784571,0.09707231152840087
5,lucene-svd-blend,0.5,0.485,565.8820000000001,172,860,860,1.0,0.6975455272201232,0.7791039343834596,0.9734088515992437,0.050166042319271506,0.08285068484817192,0.08910269919269655
5,ii-svd-blend,0.7,1.17,903.6990000000001,172,860,860,1.0,0.7029453809468071,0.7891963784477005,0.9713868101401527,0.051261792470719256,0.08431209641492565,0.08900714637570045
5,ii-svd-blend,0.6,1.443,901.3870000000001,172,860,860,1.0,0.701649810242974,0.7878312700750566,0.9709467866171185,0.04943675251923306,0.08219997421969108,0.08609901445594062
1,lucene-svd-blend,0,0.304,568.511,173,865,865,1.0,0.729660007453329,0.8351532578049359,0.9699047740980128,0.030954716986553752,0.04198023462545913,0.042861354744128236
5,lucene-svd-blend,0.4,0.328,583.461,172,860,860,1.0,0.6993421921117211,0.7802872894533583,0.9727094801422578,0.04755418721981994,0.07268256833596116,0.07900249926003024
5,lucene-svd-blend,0.3,0.405,568.361,172,860,860,1.0,0.7025665584319394,0.7830978407875401,0.9720951833345615,0.04544055340120344,0.06300750102881597,0.06869955574082548
5,ii-svd-blend,0.5,1.411,895.0600000000001,172,860,860,1.0,0.7009972064241563,0.7871751919452458,0.9703149314369394,0.04775734872211298,0.08572718632666956,0.0880367745269826
5,ii-svd-blend,0.4,1.1480000000000001,885.068,172,860,860,1.0,0.7009907173333989,0.7872299167796151,0.9698769111291636,0.045470418520399764,0.08260337547169751,0.08349954758803488
5,lucene-svd-blend,0.2,0.499,545.842,172,860,860,1.0,0.7071978806972731,0.7875181668143928,0.9702881526398168,0.0407896947532767,0.05681502282877276,0.059326752734933506
5,svd,,51.071,2.066,172,860,860,1.0,0.718981204074654,0.8094910515956243,0.9692489656329818,0.039936809289970815,0.06435918180486723,0.06712499896404422
5,lucene-svd-blend,0.1,0.47900000000000004,561.497,172,860,860,1.0,0.7132068732400032,0.7935213661472842,0.9683337464757222,0.0349174120945212,0.04575211184155115,0.046585294710249706
4,lucene,,0.132,76.642,172,860,840,0.9767441860465116,0.7079170486805649,0.7853038224417813,0.9630558950713172,0.02421500498918751,0.026335273584848627,0.026049900043661135
5,ii-svd-blend,0.3,0.9390000000000001,874.394,172,860,860,1.0,0.7016318768534142,0.787995296486274,0.970289749773361,0.04264771501092372,0.07652248080977259,0.07614098840716635
5,ii-svd-blend,0.2,0.914,851.5600000000001,172,860,860,1.0,0.7029202009566535,0.7894692641572497,0.9698070550821946,0.03666716769273424,0.06582525990402335,0.06757607615723359
4,ii,,76.343,168.421,172,860,860,1.0,0.7055978442908134,0.7823688058424351,0.971506745102782,0.04800454493345047,0.060938655879972436,0.07109589799865886
1,ii-svd-blend,0.1,1.052,835.729,173,865,865,1.0,0.7097450804860937,0.7945147702715271,0.972040605481408,0.035622041678151986,0.05216279275603886,0.055218964012696894
5,lucene-svd-blend,0,0.533,510.681,172,860,860,1.0,0.7205525789670031,0.8010718536153659,0.9680571713162539,0.030082636149175203,0.03663064885052218,0.03657873855151886
5,ii-svd-blend,0.1,1.091,734.172,172,860,860,1.0,0.7048534030475649,0.7916478618466259,0.9685311368635289,0.033530991357201695,0.058565892394547854,0.05852278559654507
